path,file_name,category,role,allocation,salvage_value,in_scope,scan_status,run_status,root_cause
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 7年40倍模拟超过两年年化高回撤低.txt,01 7年40倍模拟超过两年年化高回撤低.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 首板低开策略.txt,01 首板低开策略.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/01 龙回头3.0回测速度优化版.txt,01 龙回头3.0回测速度优化版.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 ETF动量轮动RSRS择时-魔改3小优化.txt,02 ETF动量轮动RSRS择时-魔改3小优化.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 连板龙头策略.txt,02 连板龙头策略.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/02 龙头底分型战法-两年23倍.txt,02 龙头底分型战法-两年23倍.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt,03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 一个简单而持续稳定的懒人超额收益策略.txt,03 一个简单而持续稳定的懒人超额收益策略.txt,W2_主观作业分享实盘,M_主策略_可独立alpha,05_增强位_主观特色,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 多策略融合-80倍.txt,03 多策略融合-80倍.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 截止到21年12月依然有效的小市值适配因子.txt,03 截止到21年12月依然有效的小市值适配因子.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 高评分ETF策略之核心资产轮动.txt,03 高评分ETF策略之核心资产轮动.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖_测试版.txt,04 红利搬砖_测试版.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖_简化测试版.txt,04 红利搬砖_简化测试版.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖，年化29%.txt,04 红利搬砖，年化29%.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 苦咖啡-默默赚钱系列-改.txt,04 苦咖啡-默默赚钱系列-改.txt,P_苦咖啡默默赚钱,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 集合竞价摸奖策略1.0-致敬2022.txt,04 集合竞价摸奖策略1.0-致敬2022.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 首板低开策略.txt,04 首板低开策略.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 高股息低市盈率高增长的价投策略.txt,04 高股息低市盈率高增长的价投策略.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
"/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 8年10倍回撤小,有滑点,ETF动量简单轮动策略.txt","05 8年10倍回撤小,有滑点,ETF动量简单轮动策略.txt",B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 价值低波（下）--十年十倍（2020拜年）.txt,05 价值低波（下）--十年十倍（2020拜年）.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 四大搅屎棍策略.txt,05 四大搅屎棍策略.txt,W2_主观作业分享实盘,A_辅助模块_择时或选股器,,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 用机器学习批量快速生产小盘策略.txt,05 用机器学习批量快速生产小盘策略.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_次选_可改造,True,valid,executable,OK
